"""!!""",1
"""]]\~]]\~\~\~]\~]]\~]\~""",1
"""!!\~!\~!\~""",1
"""\ ~~\ """,1
""" \~\~    \~\~\~""",1
"""!\~\~!!\~\~!\~\~!\~!!!\~\~""",1
"""\~#\~""",1
"""]]]]]""",1
"""\ \  \ \  \ \ \ \ \   \  \ """,1
"""\~]\~\~]]\~\~\~]]]\~]]]]\~]]\~]\~\~""",1
"""\~!!!!\~!\~!!!!\~!!\~\~\~!\~\~\~\~!!\~""",1
wnAos4KN8pdiR9,0
"""[[\~\~\~[[[[\~\~[[[[\~[\~[""",1
,0
"""\~]]\~]\~]]\~\~]\~]]\~]\~\~\~]]]]]]]]]]""",1
""" \ \ \    \ \   \  \    \            """,1
"
",0
"""!!\~\~!\~\~!!\~!\~\~!\~\~\~!!!!\~\~\~!\~\~!!\~""",1
88206.4849484,0
rmOP8ZCezCNi_Vf,0
"""##\~\~\~\~\~#""",1
"""\~[[\~[\~\~[\~\~\~\~[\~[\~[[\~[\~\~\~\~\~[\~[""",1
""" \~\~\~ \~\~ \~\~\~\~\~ \~  \~\~\~""",1
"""\ !!\ \ \ !!\ \ !!\ \ !\ !""",1
"""\~\~!!\~!\~\~\~!!\~""",1
""" \ \ \ \ \ \   \   \    \  \ \  \ \  \ \ """,1
'(',0
5.476925819,0
"""~\~\~\~~\~\~\~~~\~~~~~~\~~~\~\~\~~~~\~\~~~""",1
